username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,lexical_similarity_score_mean,temporal_burst_score_max,posting_freq_per_hour_max,sna_out_deg_max,sna_in_deg_max,sna_betweenness_max,buzzer_label
Nymeryion,0.0014398702,0.0014398702,1,0,0.3611,0.0135,1.0,1,0.0,0.0,0.0,Non-Buzzer
Cameliatty,0.0014309598,0.0014309598,1,0,0.3449,0.0139,1.0,1,1.0,0.0,0.0,Non-Buzzer
Lord_Mudcrab95,0.0014106056,0.0014106056,1,0,0.4712,0.0085,1.0,1,1.0,1.0,0.0,Non-Buzzer
lilwrenchz,0.0013991419,0.0013991419,1,0,0.7111,0.0028,1.0,1,0.0,0.0,0.0,Non-Buzzer
ya2nk_dheophe,0.0013975825,0.0013975825,1,0,0.4841,0.0075,1.0,1,1.0,0.0,0.0,Non-Buzzer
verstalie,0.0013816304,0.0013816304,1,0,0.4553,0.0057,1.0,1,0.0,0.0,0.0,Non-Buzzer
aresterisk,0.0013816304,0.0013816304,1,0,0.4553,0.0051,1.0,1,0.0,0.0,0.0,Non-Buzzer
azosarchive,0.0013708834,0.0013708834,1,0,0.3173,0.013,1.0,1,0.0,0.0,0.0,Non-Buzzer
inabujank,0.0013701937,0.0013701937,1,0,0.9098,0.0063,1.0,1,0.0,0.0,0.0,Non-Buzzer
dihydroxyestra,0.0013696684,0.0013696684,1,0,0.2803,0.0125,1.0,1,0.0,0.0,0.0,Non-Buzzer
madshiraa,0.0013685452,0.0013685452,1,0,0.3831,0.0033,1.0,1,0.0,0.0,0.0,Non-Buzzer
arubigoreng,0.0013685452,0.0013685452,1,0,0.388,0.0014,1.0,1,0.0,0.0,0.0,Non-Buzzer
skepticaladhit,0.0013671968,0.0013671968,1,0,0.3999,0.0182,1.0,1,1.0,0.0,0.0,Non-Buzzer
The_Takank,0.0013620587,0.0013620587,1,0,0.3161,0.01,1.0,1,1.0,0.0,0.0,Non-Buzzer
goeli3,0.0013607563,0.0013607563,1,0,0.3316,0.0137,1.0,1,0.0,0.0,0.0,Non-Buzzer
purwarupa3,0.0013504268,0.0013504268,1,0,0.3052,0.0136,1.0,1,1.0,0.0,0.0,Non-Buzzer
wh0isHanna,0.0013472487,0.0013472487,1,0,0.7111,0.0075,1.0,1,0.0,0.0,0.0,Non-Buzzer
rzyfzyfzyf,0.0013317309,0.0013317309,1,0,0.3747,0.005,1.0,1,0.0,0.0,0.0,Non-Buzzer
selaluPromo09,0.0013210161,0.0013210161,1,0,0.3994,0.0131,1.0,1,0.0,0.0,0.0,Non-Buzzer
godbusycanihelp,0.0013163472,0.0013163472,1,0,0.6158,0.01,1.0,1,0.0,0.0,0.0,Non-Buzzer
AlxndrieJeremia,0.0013162663,0.0013162663,1,0,0.3162,0.0137,1.0,1,0.0,0.0,0.0,Non-Buzzer
Ekokucayy,0.0013149625,0.0013149625,1,0,0.5972,0.0072,1.0,1,1.0,0.0,0.0,Non-Buzzer
ranggaprp,0.0013078338,0.0013078338,1,0,0.3909,0.0092,1.0,1,1.0,0.0,0.0,Non-Buzzer
Whl_27,0.0012943847,0.0012943847,1,0,0.5232,0.007,1.0,1,1.0,0.0,0.0,Non-Buzzer
tokyomotret,0.0012927406,0.0012927406,1,0,0.0,0.0,1.0,1,0.0,0.0,0.0,Non-Buzzer
Chichi_X_Mune,0.0012908826,0.0012908826,1,0,0.3544,0.0099,1.0,1,0.0,0.0,0.0,Non-Buzzer
yourpadawann,0.00129034,0.00129034,1,0,0.0,0.0,1.0,1,1.0,0.0,0.0,Non-Buzzer
JackieNoboru,0.001285404,0.001285404,1,0,0.6607,0.0091,1.0,1,1.0,0.0,0.0,Non-Buzzer
RenoArifigar,0.0012829523,0.0012829523,1,0,0.7955,0.0084,1.0,1,0.0,0.0,0.0,Non-Buzzer
kyobiiii,0.0012730713,0.0012730713,1,0,0.4015,0.0092,1.0,1,0.0,0.0,0.0,Non-Buzzer
Cak_Alail,0.0012609421,0.0012609421,1,0,0.4223,0.001,1.0,1,0.0,0.0,0.0,Non-Buzzer
garmenputus,0.0012506585,0.0012506585,1,0,0.5017,0.0099,1.0,1,0.0,0.0,0.0,Non-Buzzer
xnopzx,0.0012484341,0.0012484341,1,0,0.3673,0.0125,1.0,1,1.0,0.0,0.0,Non-Buzzer
allaamnaufal20,0.0012484185,0.0012484185,1,0,0.4653,0.0067,1.0,1,0.0,0.0,0.0,Non-Buzzer
clarniva,0.0012479086,0.0012479086,1,0,0.6095,0.0074,1.0,1,0.0,0.0,0.0,Non-Buzzer
MillastoElhart,0.001245208,0.001245208,1,0,0.5482,0.0092,1.0,1,0.0,0.0,0.0,Non-Buzzer
MrHighgrou79503,0.0012436002,0.0012436002,1,0,0.6095,0.0081,1.0,1,1.0,1.0,0.0,Non-Buzzer
kindahao,0.0012424245,0.0012424245,1,0,0.9098,0.004,1.0,1,0.0,0.0,0.0,Non-Buzzer
cryskabarchenow,0.0012354025,0.0012354025,1,0,0.3602,0.011,1.0,1,0.0,0.0,0.0,Non-Buzzer
ValentinoJ15345,0.0012349208,0.0012349208,1,0,0.4223,0.0071,1.0,1,1.0,0.0,0.0,Non-Buzzer
serafioz,0.0012345186,0.0012345186,1,0,0.6668,0.0101,1.0,1,0.0,0.0,0.0,Non-Buzzer
Rahman_Denim72,0.0012286584,0.0012286584,1,0,0.4895,0.0008,1.0,1,0.0,0.0,0.0,Non-Buzzer
_RyanKu,0.0012210651,0.0012210651,1,0,0.3937,0.0038,1.0,1,1.0,1.0,0.0,Non-Buzzer
IriandiBudyanto,0.0012155216,0.0012155216,1,0,0.6592,0.0074,1.0,1,0.0,0.0,0.0,Non-Buzzer
AdityaPrasetyo_,0.0012155216,0.0012155216,1,0,0.7313,0.006,1.0,1,0.0,0.0,0.0,Non-Buzzer
