term,score
tidak ngerti,1.6759169331253008
tujuannya melindungi,1.6757626154266316
isu penjelasan,1.6741760529915295
ambil kesimpulan,1.672127233513172
hasilnya,1.669029680759823
dicabut,1.663760737584623
story,1.662158885808969
ketawa,1.6565708392011282
benerin noh,1.6552014768114036
please,1.6541516401925724
re,1.6536494450720738
epic,1.6531100041680127
tidak paham,1.6520066102783806
gambaran,1.6499818573401255
play,1.649061041058202
teknologi,1.6460502958215502
never,1.644159664736318
kemaren,1.6439217944067588
lolos,1.6427933151222642
konsumen,1.6425274154410126
penyesuaian wajar,1.6412528982145806
deepspace,1.636960338160491
government,1.6366950942113427
new,1.6338587635892434
lbh,1.6319522663995996
jelasin,1.6294350610336954
more,1.6208887001992682
porno,1.6187081277198545
potensi,1.616713054383319
alasan,1.6152359325460648
will,1.6133565391068472
diperjelas,1.6131625131026435
tampil masih,1.611848405717922
emang tidak,1.6117875730236706
akui kejanggalan,1.6104242589917257
ikutin,1.6104079514555325
komdigi bukan,1.610204174968136
ready,1.6074393542835164
stop,1.6071649234118692
polemik,1.607056446572793
seru,1.603125700665061
get,1.6018293297558464
kalangan,1.5976006006839434
censorship,1.5973807458357085
orang komdigi,1.5973224614912096
malak,1.596771128251911
lho,1.5961960798965267
april,1.5890675018121294
bad,1.5889227911588937
nyari,1.5883745525226143
coretax,1.5866853450736647
amerika,1.585063852571956
fitur,1.5850182403308781
well,1.5847777122261155
membeli,1.582856497613076
ye,1.5827960153759535
perlindungan pemain,1.582278363182591
bertani,1.580491329015942
kaget,1.5780062497736367
dirilis dibaca,1.5761057146792268
ig,1.5730030004639435
silahkan,1.5719909021483685
mata,1.571429626981593
stupid,1.5705492231264613
berpendapat,1.5694265731538217
total,1.5616781545898402
beres,1.5598765217447341
kesel,1.5568945781128387
adegan,1.553821375553893
niat,1.5531688991641919
deklarasi,1.5526959641389018
red,1.5523191032204788
us,1.5519178371660898
kau,1.5518046274625754
emosi,1.550663881990318
khawatir,1.5499633953678553
berani,1.5470548376747368
marah marah,1.5461049193835295
see,1.5444741938620132
uang pajak,1.5431314831872756
tampilan masih,1.5400841138296844
menyalahkan,1.5396077307946654
info beredar,1.530648511320771
ah,1.5303583547070294
ganti,1.5303242876054002
ramai bahas,1.52826802908383
cuci,1.5276297235612653
habis,1.525864811042188
tidak layak,1.5253213237078969
layak,1.5253213237078969
males,1.5201251000805307
ngerating,1.5166034426612067
tetep,1.5151035310958263
beritanya,1.5116444739035582
tolol emang,1.5111765008564477
ulah,1.5105584143708077
zzz,1.5095655368644405
kasian,1.505985529404754
kedepannya,1.505934800534898
dasar,1.5045275272707848
jgn,1.5044064723828003
besok,1.5039949924908578
wkwkwkwk,1.5034845099096386
menang,1.5031228409510724
ortu,1.4975307320049875
uda,1.4940118089856973
dirugikan,1.4925322819598694
arah,1.4921166352691273
tololll,1.4892531628891164
case,1.4870299143965087
panas,1.4866598124192163
lindungi pemain,1.4841741134708528
makan,1.4821618273205939
tita,1.4812948274285938
cari,1.4811014631987267
kelar,1.480943184825124
mundur,1.480116887310304
apasih,1.4783370382166199
kudu,1.4777259629771806
anjeng,1.477393468591755
meluruskan muncul,1.4772009736878107
faktanya,1.4739656252154303
disempurnakan,1.4737867391705004
pake buzzer,1.4685119838333294
is so,1.4684508963448026
