Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
rpr_zero2,rpr_zero2,rpr_zero2,0.0036688086111098,0.0036688086111098,1,0,0.3648,1.0,1.0,0.0,1.0,Non-Buzzer
rpramestaa12,rpramestaa12,rpramestaa12,0.998754382133484,0.9930469393730164,6,6,0.7423,0.6666666666666666,5.0,0.0,4.0,Buzzer
ruangKoosongg,ruangKoosongg,ruangKoosongg,0.0011703294003382,0.0011703294003382,1,0,0.7352,1.0,0.0,0.0,1.0,Non-Buzzer
rvbaharktik,rvbaharktik,rvbaharktik,0.0017892715986818,0.0017892715986818,1,0,0.3712,1.0,1.0,0.0,1.0,Non-Buzzer
ryoyabunap,ryoyabunap,ryoyabunap,0.0197229254990816,0.0197229254990816,1,0,0.5624,1.0,1.0,0.0,1.0,Non-Buzzer
rzyfzyfzyf,rzyfzyfzyf,rzyfzyfzyf,0.0013317308621481,0.0013317308621481,1,0,0.3747,1.0,0.0,0.0,1.0,Non-Buzzer
safriearr,safriearr,safriearr,0.0017636838601902,0.0017636838601902,1,0,0.3656,1.0,1.0,0.0,1.0,Non-Buzzer
salengkarden,salengkarden,salengkarden,0.0794310644268989,0.0794310644268989,1,0,0.8346,1.0,0.0,0.0,1.0,Non-Buzzer
salmontamago14,salmontamago14,salmontamago14,0.0008044759742915,0.0008044759742915,1,0,0.3121,1.0,1.0,0.0,1.0,Non-Buzzer
samarotsaha,samarotsaha,samarotsaha,0.0021735127083957,0.0021735127083957,1,0,0.253,1.0,0.0,0.0,1.0,Non-Buzzer
samminustakes,samminustakes,samminustakes,0.0023109589237719,0.0023109589237719,1,0,0.5986,1.0,1.0,0.0,1.0,Non-Buzzer
sarungwadymor,sarungwadymor,sarungwadymor,0.0012003330048173,0.0012003330048173,1,0,0.5215,1.0,0.0,0.0,1.0,Non-Buzzer
saxophonistkawe,saxophonistkawe,saxophonistkawe,0.0057788188569247,0.0057788188569247,1,0,0.5603,1.0,0.0,0.0,1.0,Non-Buzzer
sbjagal74,sbjagal74,sbjagal74,0.8934553861618042,0.8934553861618042,1,1,0.8281,1.0,0.0,0.0,1.0,Buzzer
scandal_dante,scandal_dante,scandal_dante,0.0028218505904078,0.0028218505904078,1,0,1.0,1.0,0.0,0.0,1.0,Non-Buzzer
scr3t1y,scr3t1y,scr3t1y,0.083305723965168,0.083305723965168,1,0,0.3891,1.0,1.0,0.0,1.0,Non-Buzzer
seigeenomeekata,seigeenomeekata,seigeenomeekata,0.0036758380010724,0.0036758380010724,1,0,0.3154,1.0,0.0,0.0,1.0,Non-Buzzer
sekarksh,sekarksh,sekarksh,0.0008857601787894,0.0008857601787894,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
selaluPromo09,selaluPromo09,selaluPromo09,0.0013210161123424,0.0013210161123424,1,0,0.3994,1.0,0.0,0.0,1.0,Non-Buzzer
sennzebub,sennzebub,sennzebub,0.0017164561431854,0.0017164561431854,1,0,0.4521,1.0,0.0,0.0,1.0,Non-Buzzer
sentriellesche,sentriellesche,sentriellesche,0.0069167707115411,0.004456574562937,2,0,0.5061,0.5,1.0,0.0,1.0,Non-Buzzer
septimberrr,septimberrr,septimberrr,0.0008221638272516,0.0008221638272516,1,0,0.3202,1.0,0.0,0.0,1.0,Non-Buzzer
serafioz,serafioz,serafioz,0.0012345185969024,0.0012345185969024,1,0,0.6668,1.0,0.0,0.0,1.0,Non-Buzzer
setsundere,setsundere,setsundere,0.8791864514350891,0.4431181848049164,2,1,0.3715,0.5,0.0,0.0,1.0,Buzzer
shimoneta1601,shimoneta1601,shimoneta1601,0.2442576289176941,0.2442576289176941,1,0,0.3283,1.0,1.0,0.0,1.0,Non-Buzzer
shirota280,shirota280,shirota280,0.0011443729745224,0.0011443729745224,1,0,0.5587,1.0,1.0,0.0,1.0,Non-Buzzer
si4riNew,si4riNew,si4riNew,0.2666828632354736,0.2666828632354736,1,0,0.3145,1.0,1.0,0.0,1.0,Non-Buzzer
sikoom,sikoom,sikoom,0.0020055405329912,0.0020055405329912,1,0,0.2547,1.0,0.0,0.0,1.0,Non-Buzzer
sinyalkartuntv,sinyalkartuntv,sinyalkartuntv,0.0025693350471556,0.0025693350471556,1,0,0.6958,1.0,0.0,0.0,1.0,Non-Buzzer
skepticaladhit,skepticaladhit,skepticaladhit,0.0013671967899426,0.0013671967899426,1,0,0.3999,1.0,1.0,0.0,1.0,Non-Buzzer
skrrttttttskrtt,skrrttttttskrtt,skrrttttttskrtt,0.0025008569937199,0.0025008569937199,1,0,0.5186,1.0,0.0,0.0,1.0,Non-Buzzer
slavoury,slavoury,slavoury,0.0079407393932342,0.0079407393932342,1,0,0.5186,1.0,0.0,0.0,1.0,Non-Buzzer
sn_0_z_,sn_0_z_,sn_0_z_,0.0038658583071082,0.0033175055868923,2,0,0.4973,0.5,2.0,0.0,1.0,Non-Buzzer
someeothrthing,someeothrthing,someeothrthing,0.0019806770142167,0.0019806770142167,1,0,0.3747,1.0,0.0,0.0,1.0,Non-Buzzer
soulsinders,soulsinders,soulsinders,0.0020601900760084,0.0020601900760084,1,0,0.3174,1.0,0.0,0.0,1.0,Non-Buzzer
sripraba95,sripraba95,sripraba95,0.0020418502390384,0.0020418502390384,1,0,0.442,1.0,1.0,0.0,1.0,Non-Buzzer
ssigitpermana98,ssigitpermana98,ssigitpermana98,0.8981512784957886,0.8981512784957886,1,1,0.6144,1.0,1.0,0.0,1.0,Buzzer
sssssidiq,sssssidiq,sssssidiq,0.0655146315693855,0.0655146315693855,1,0,0.3968,1.0,0.0,0.0,1.0,Non-Buzzer
stamped_e,stamped_e,stamped_e,0.0016631734324619,0.0016631734324619,1,0,0.2767,1.0,1.0,0.0,1.0,Non-Buzzer
stefanyreza2000,stefanyreza2000,stefanyreza2000,0.9961446523666382,0.9961446523666382,1,1,0.6334,1.0,0.0,0.0,1.0,Buzzer
stelleturu,stelleturu,stelleturu,0.016353752464056,0.016353752464056,1,0,0.7087,1.0,0.0,0.0,1.0,Non-Buzzer
steven20260934,steven20260934,steven20260934,0.0063746124505996,0.0063347155228257,2,0,0.4323,1.0,0.0,0.0,2.0,Non-Buzzer
stristy_,stristy_,stristy_,0.0026032656896859,0.0026032656896859,1,0,0.405,1.0,0.0,0.0,1.0,Non-Buzzer
suirets,suirets,suirets,0.0202173646539449,0.0113615719601511,3,0,0.5767,0.6666666666666666,3.0,0.0,2.0,Non-Buzzer
