Id,Label,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,binary_label_gephi,sna_out_deg_max,sna_in_deg_max,content_dup_score_max,temporal_burst_score_max,in_degree,out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,eigenvector_centrality
AlizarinBlue,AlizarinBlue,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urbanaiben,urbanaiben,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syndarrr03,Syndarrr03,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radityaris,radityaris,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiskinTV_,MiskinTV_,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGM_FESS,UGM_FESS,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KrowThornes,KrowThornes,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zidnyman,zidnyman,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gagahmei,gagahmei,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No1Real0,No1Real0,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1speed_indo,f1speed_indo,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nurfaishal9,nurfaishal9,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AimyuuNao,AimyuuNao,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reynoldtyb,reynoldtyb,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWWReborn,RWWReborn,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam,Steam,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheGameVerse,TheGameVerse,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analyst_V2,Analyst_V2,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onnowpurbo,onnowpurbo,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZonaKitten,ZonaKitten,0.0,0.0,0,0,Non-Buzzer,,,,,1.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.019566423754292732,0.025217553093049575
vyyouna,vyyouna,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZhugeEX,ZhugeEX,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ervain2,Ervain2,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinny_hrly,Quinny_hrly,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadsthenut,nadsthenut,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cozywithnicky,cozywithnicky,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alijaya,alijaya,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gotoants,Gotoants,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cebmerut,cebmerut,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ItsukaRedSama,ItsukaRedSama,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relltarded,relltarded,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zanatul_91,zanatul_91,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tempodotco,tempodotco,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
animetrends,animetrends,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kyohamaru,kyohamaru,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akudansibd93535,akudansibd93535,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moulanapanji,moulanapanji,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheMechaXDude,TheMechaXDude,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subtly8263,subtly8263,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luckyn00bs,luckyn00bs,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alterozas,alterozas,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSIPAJA,ARSIPAJA,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuroshka_id,Kuroshka_id,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emcd_io,emcd_io,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GodotYT,GodotYT,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
som00in,som00in,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
