content_dup_score,lexical_similarity_score,semantic_dup_score,semantic_similarity_score,temporal_burst_score,posting_freq_per_hour,sna_out_deg,sna_in_deg
0.3174,0.0216,0.76706344,0.31876767,1.0,1,0.0,0.0
0.3061,0.0122,0.45714104,0.21424584,1.0,2,0.0,0.0
0.5378,0.01,0.8856393,0.33198407,1.0,1,1.0,0.0
0.5877,0.0017,0.89582217,0.34852323,1.0,1,0.0,0.0
0.4659,0.009,0.664166,0.28348735,0.5,1,1.0,0.0
0.4941,0.0257,0.8055407,0.3575329,1.0,2,0.0,8.0
0.4437,0.0172,0.80639386,0.4084664,1.0,1,1.0,3.0
0.359,0.0069,0.6724272,0.29937655,1.0,1,0.0,0.0
0.4659,0.0093,0.70369303,0.3649476,0.6666666666666666,6,7.0,0.0
0.4132,0.022,0.8583647,0.40686557,1.0,1,0.0,0.0
0.403,0.0158,0.66411793,0.25996432,1.0,2,0.0,8.0
0.629,0.0099,0.9066695,0.33370003,1.0,1,0.0,0.0
0.6534,0.0052,0.87617135,0.34606412,0.75,3,3.0,0.0
0.2477,0.0267,0.8852247,0.42878246,0.7,7,9.0,0.0
0.3747,0.0076,0.71791327,0.34020162,1.0,1,0.0,0.0
0.4278,0.0216,0.74671316,0.34652656,1.0,1,0.0,0.0
0.4029,0.0177,0.84752953,0.24911106,0.75,3,3.0,0.0
0.2648,0.0118,0.6437472,0.23249461,1.0,1,0.0,0.0
0.0,0.0,1.0000001,0.28146854,1.0,1,0.0,0.0
0.4825,0.0191,0.88185763,0.3078156,0.8333333333333334,5,5.0,0.0
0.3124,0.0153,0.7674196,0.2759621,0.8333333333333334,5,5.0,0.0
0.3314,0.0066,0.6872366,0.32231817,1.0,1,0.0,0.0
0.5238,0.021,0.7066437,0.25237334,1.0,1,0.0,0.0
0.2864,0.0148,0.7434937,0.27024132,0.6666666666666666,2,2.0,0.0
0.54,0.039,0.9114841,0.39489785,1.0,2,1.0,0.0
0.7314,0.005,0.87617135,0.32355335,0.6666666666666666,6,7.0,0.0
0.2736,0.013,0.79885924,0.2986304,0.8,4,4.0,0.0
0.628,0.0127,0.9202864,0.4790414,1.0,2,1.0,0.0
0.7314,0.0149,0.77452767,0.3369343,0.6666666666666666,4,5.0,0.0
0.7017,0.0186,0.9406271,0.45113084,1.0,2,1.0,0.0
0.457,0.0097,0.86431193,0.23942633,0.7777777777777778,7,8.0,0.0
0.3503,0.0162,0.71835047,0.31646693,0.6666666666666666,2,0.0,0.0
1.0,0.0154,0.9868238,0.41540876,1.0,1,0.0,0.0
0.4237,0.0118,0.81482804,0.32558367,1.0,1,1.0,0.0
0.4825,0.0179,0.88185763,0.30034003,0.6666666666666666,4,5.0,0.0
1.0,0.0109,0.99999976,0.42299807,1.0,2,1.0,0.0
0.6113,0.0181,0.7538089,0.33020028,1.0,1,0.0,0.0
1.0,0.0109,0.99999976,0.42299807,0.7,7,9.0,0.0
0.2699,0.0184,0.80595183,0.4286744,0.6666666666666666,2,0.0,0.0
0.6978,0.0182,0.80654144,0.30692926,1.0,1,0.0,0.0
1.0,0.0011,0.90744483,0.18582064,1.0,1,1.0,0.0
0.628,0.0016,0.7361418,0.3790598,1.0,1,0.0,0.0
0.6668,0.0101,0.5555724,0.122664064,1.0,1,0.0,0.0
0.425,0.0105,0.69588566,0.3253442,1.0,1,0.0,0.0
0.5364,0.0229,0.90115905,0.48582932,0.6666666666666666,2,0.0,0.0
0.3823,0.0068,0.76120317,0.28352177,1.0,1,0.0,0.0
0.4714,0.0187,0.92648107,0.4390107,0.5,1,1.0,0.0
0.6021,0.0107,0.7950894,0.3295747,1.0,1,0.0,0.0
0.6069,0.0154,0.6928706,0.33342937,1.0,1,0.0,0.0
0.6335,0.0062,0.8987917,0.3174835,1.0,1,0.0,0.0
0.4708,0.0271,0.83770096,0.3728778,1.0,2,1.0,0.0
0.3154,0.0168,0.77138054,0.31902868,1.0,1,0.0,0.0
0.4896,0.0164,0.7958196,0.32502115,1.0,2,1.0,0.0
1.0,0.0154,0.9868238,0.41771272,1.0,2,1.0,0.0
0.5215,0.0102,0.5685562,0.1659752,1.0,1,0.0,0.0
0.5658,0.0217,0.9646963,0.48906586,0.5,1,1.0,0.0
0.6551,0.0173,0.9652399,0.45790836,1.0,1,0.0,0.0
0.3469,0.0163,0.69757545,0.31551182,1.0,1,1.0,12.0
0.4875,0.0141,0.9138006,0.47082862,0.6666666666666666,2,2.0,0.0
0.3219,0.0293,0.7710855,0.4558845,0.5,1,2.0,0.0
1.0,0.0131,0.9999999,0.40412664,1.0,1,0.0,0.0
0.4078,0.0154,0.77073276,0.29373738,0.6666666666666666,2,0.0,0.0
0.3166,0.0052,0.6375022,0.30224973,1.0,1,0.0,0.0
0.6019,0.0186,0.88057506,0.37688437,1.0,1,0.0,0.0
0.6334,0.0131,0.918834,0.45170906,1.0,1,0.0,0.0
0.3378,0.0223,0.67738324,0.28970304,0.6666666666666666,2,0.0,0.0
0.6551,0.0174,0.9529735,0.47776183,1.0,1,0.0,0.0
